gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000222545	AC080037.1	0	0	0	0	0	0	0	0
ENSG00000222546	RNA5SP251	0	0	0	0	0	0	0	0
ENSG00000222548	AC006534.1	0	0	0	0	0	0	0	0
ENSG00000222551	AC106732.1	0	0	0	0	0	0	0	0
ENSG00000222552	RNA5SP60	0	0	0	0	0	0	0	0
ENSG00000222558	RNU6-1064P	0	0	0	0	0	0	0	0
ENSG00000222560	RNU4-43P	0	0	0	0	0	0	0	0
ENSG00000222561	RNU6-1025P	0	0	0	0	0	0	0	0
ENSG00000222563	RNU6-305P	0	0	0	0	0	0	0	0
ENSG00000222570	AF216667.1	0	0	0	0	0	0	0	0
ENSG00000222574	RN7SKP61	0	0	0	0	0	0	0	0
ENSG00000222578	RNA5SP345	0	0	0	0	0	0	0	0
ENSG00000222579	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222581	RNU2-47P	0	0	0	0	0	0	0	0
ENSG00000222582	RNU2-66P	0	0	0	0	0	0	0	0
ENSG00000222583	RN7SKP222	0	0	0	0	0	0	0	0
ENSG00000222585	RNA5SP494	0	0	0	0	0	0	0	0
ENSG00000222586	AC010999.1	0	0	0	0	0	0	0	0
ENSG00000222588	SNORA19	0	0	0	0	0	0	4	0
ENSG00000222589	RN7SKP159	0	1	0	0	0	0	0	0
ENSG00000222591	AC118345.2	0	0	0	0	0	0	1	0
ENSG00000222592	RNU6-887P	0	0	0	0	0	0	0	0
