task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	2c/366347	1113042	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_REP2)	COMPLETED	0	2026-03-21 10:08:45.746	49m 23s	49m 22s	494.6%	3.3 GB	4.8 GB	297.3 GB	282.7 GB
2	44/83301e	1160670	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fa)	COMPLETED	0	2026-03-21 10:58:08.373	28.4s	28s	59.1%	15.1 MB	19.9 MB	3.8 GB	799.4 MB
13	8c/4b0d04	1161626	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (K562_REP1)	COMPLETED	0	2026-03-21 10:58:36.764	6m 53s	6m 52s	197.4%	1.3 GB	6.1 GB	14.2 GB	3.6 MB
6	56/8b9272	1166852	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (K562_REP1)	COMPLETED	0	2026-03-21 11:05:30.005	46m 46s	46m 45s	492.4%	3.3 GB	4.8 GB	281.1 GB	266.8 GB
18	93/68bbcb	1213385	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (H1_REP2)	COMPLETED	0	2026-03-21 11:52:15.516	6m 16s	6m 14s	199.0%	1.3 GB	6.1 GB	13.3 GB	3.8 MB
11	43/ee182f	1218109	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (H1_REP2)	COMPLETED	0	2026-03-21 11:58:31.128	42m 26s	42m 26s	501.6%	3.2 GB	4.8 GB	279.1 GB	265.7 GB
17	74/168d2f	1262636	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (H1_REP1)	COMPLETED	0	2026-03-21 12:40:57.424	7m 14s	7m 13s	200.0%	1.2 GB	6.1 GB	16 GB	3.9 MB
10	d2/3f8b8c	1267961	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (H1_REP1)	COMPLETED	0	2026-03-21 12:48:10.978	48m 44s	48m 43s	506.0%	3.1 GB	4.8 GB	326 GB	309.9 GB
20	43/ea7e03	1315271	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:HISAT2_EXTRACTSPLICESITES (genome.filtered.gtf)	COMPLETED	0	2026-03-21 13:36:55.189	12.1s	12s	92.1%	322 MB	327.5 MB	800.1 MB	7.5 MB
19	a4/2a4dd5	1316047	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa)	COMPLETED	0	2026-03-21 13:37:07.326	45.2s	45s	94.8%	1.1 GB	1.4 GB	4.3 GB	1.5 GB
21	4d/68dc5e	1317571	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:HISAT2_BUILD (genome.fa)	COMPLETED	0	2026-03-21 13:37:52.504	11m 52s	11m 52s	642.5%	6.7 GB	6.9 GB	16.5 GB	14.7 GB
22	8e/ed67cb	1324642	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:SALMON_INDEX (genome.transcripts.fa)	COMPLETED	0	2026-03-21 13:49:44.600	32m 57s	32m 55s	476.3%	18.3 GB	59.8 GB	62.4 GB	36 GB
